"location","year","ASR","SDI","frontier","eff_diff","trend"
"Brunei Darussalam",2023,4.33538228371286,0.83236394657054,0.0302708482026966,4.30511143551016,"Decrease"
"Bulgaria",2023,0.337566195038549,0.770862429165495,0.0798444709689472,0.257721724069602,"Decrease"
"Burkina Faso",2023,30.1762766574537,0.306760806331857,13.6092220071977,16.567054650256,"Decrease"
"Burundi",2023,98.5374737643733,0.307259852729657,13.0778484503061,85.4596253140672,"Decrease"
"Cabo Verde",2023,6.88968160500607,0.562409777290349,0.948635243715724,5.94104636129035,"Decrease"
"Cambodia",2023,33.6370846528311,0.499953382073157,1.55953981098475,32.0775448418464,"Decrease"
"Cameroon",2023,33.8548002863086,0.487083712750672,1.68069825807723,32.1741020282314,"Decrease"
"Canada",2023,0.214103080782472,0.887304674694176,0.0302936003354661,0.183809480447006,"Decrease"
"Caribbean",2023,14.6071372918841,0.663523185439334,0.233395454070211,14.3737418378139,"Decrease"
"Central Africa",2023,92.3411011725811,NA,0.0304442568576494,92.3106569157235,"Decrease"
"Central African Republic",2023,240.588259886067,0.259147218754529,18.6514780562092,221.936781829858,"Decrease"
"Central Asia",2023,4.25788602758433,0.669719137266841,0.226840730448466,4.03104529713586,"Decrease"
"Central Europe",2023,0.972442448241194,0.807774759799888,0.0409921761839721,0.931450272057222,"Decrease"
"Central Latin America",2023,2.66249689231196,0.66729761490232,0.225911805846027,2.43658508646593,"Decrease"
"Central Sub-Saharan Africa",2023,98.2756417719132,0.478716031148203,1.75966258874925,96.515979183164,"Decrease"
"Chad",2023,90.4179978622938,0.239323300532895,21.1906661822827,69.2273316800111,"Decrease"
"Chile",2023,1.95474496394,0.788533124865191,0.0665582324037087,1.88818673153629,"Decrease"
"China",2023,1.16978324815938,0.727553273547614,0.167461911245226,1.00232133691415,"Decrease"
"Colombia",2023,2.31705304071548,0.68885548944635,0.209877985914502,2.10717505480098,"Decrease"
"Commonwealth High Income",2023,0.243579243779782,NA,0.0302858923404726,0.213293351439309,"Decrease"
"Commonwealth Low Income",2023,44.4582440520731,NA,0.0303908125182705,44.4278532395548,"Decrease"
"Commonwealth Middle Income",2023,27.2779400298442,NA,0.0303134788837981,27.2476265509604,"Decrease"
"Comoros",2023,31.7623616628671,0.478698596660003,1.75980670753133,30.0025549553358,"Decrease"
"Congo",2023,48.8147602801813,0.577849430188476,0.828295222044175,47.9864650581371,"Decrease"
"Cook Islands",2023,0.888625925940964,0.77740486897783,0.0739654029133082,0.814660523027656,"Decrease"
"Costa Rica",2023,0.746353060776109,0.715385979521142,0.210437358222926,0.535915702553183,"Decrease"
"Croatia",2023,0.437630107173646,0.782133462948489,0.0647877734601936,0.372842333713452,"Decrease"
"Cuba",2023,0.273372675819614,0.694880526661335,0.212008026245949,0.0613646495736647,"Decrease"
"Cyprus",2023,0.30281707637574,0.855816058125028,0.0302618217200309,0.272555254655709,"Decrease"
"Czechia",2023,0.179546710987288,0.831034339661612,0.0301556168881526,0.149391094099135,"Decrease"
"Côte d'Ivoire",2023,31.001494472641,0.451524015463254,3.18439016784632,27.8171043047947,"Decrease"
"Democratic People's Republic of Korea",2023,27.4798425170268,0.577059939678444,0.801369024810702,26.6784734922161,"Decrease"
"Democratic Republic of the Congo",2023,108.077385151392,0.395104186326034,7.9892058483063,100.088179303086,"Decrease"
"Denmark",2023,0.166450747205152,0.915990253368525,0.0307171350441543,0.135733612160998,"Decrease"
"Djibouti",2023,35.8669901630846,0.491006574782539,1.58734397640472,34.2796461866799,"Decrease"
"Dominica",2023,1.97749379501566,0.753664220063035,0.103995955388415,1.87349783962725,"Decrease"
